,Month,Number of players in thousands
0,Nov '20,157.36
1,Oct '20,128.58
2,Sep '20,126.17
3,Aug '20,154.68
4,Jul '20,134.09
5,Jun '20,180.3
6,May '20,260.56
7,Apr '20,243.28
8,Mar '20,209.49
9,Feb '20,267.36
10,Jan '20,214.8
11,Dec '19,204.14
12,Nov '19,138.54
13,Oct '19,117.0
14,Sept '19,135.07
15,Aug '19,176.21
16,Jul '19,197.56
17,Jun '19,109.16
18,May '19,108.56
19,Apr '19,91.59
20,Mar '19,126.52
21,Feb '19,119.44
22,Jan '19,118.21
23,Dec '18,120.69
24,Nov '18,81.36
25,Oct '18,81.34
26,Sept '18,97.92
27,Aug '18,123.56
28,Jul '18,162.02
29,Jun '18,118.33
30,May '18,82.96
31,Aprl '18,89.79
32,Mar '18,94.49
33,Feb '18,94.31
34,Jan '18,167.75
35,Dec '17,170.32
36,Nov '17,85.11
37,Oct '17,84.55
38,Sept '17,101.43
39,Aug '17,121.83
40,Jul '17,112.07
41,Jun '17,131.94
42,May '17,83.48
43,Apr '17,96.5
44,Mar '17,98.8
45,Feb '17,104.9
46,Jan '17,116.13
47,Dec '16,126.68
48,Nov '16,86.76
49,Oct '16,86.19
50,Sept '16,61.92
51,Aug '16,63.87
52,Jul '16,71.78
53,Jun '16,78.33
54,May '16,48.05
55,Apr '16,65.88
56,Mar '16,64.63
57,Feb '16,72.74
58,Jan '16,93.73
