,Year,"Deaths per 1,000 live births"
0,2020,4.0
1,2015,4.0
2,2010,4.0
3,2005,5.0
4,2000,6.0
5,1995,7.0
6,1990,10.0
7,1985,13.0
8,1980,18.0
9,1975,24.0
10,1970,27.0
11,1965,35.0
12,1960,45.0
13,1955,55.0
14,1950,65.76
15,1945,78.56
16,1940,89.32
17,1935,115.52
18,1930,138.47
19,1925,189.6
20,1920,232.4
21,1915,259.84
22,1910,283.18
23,1905,323.61
24,1900,352.8
25,1895,364.75
26,1890,364.75
27,1885,372.17
28,1880,369.6
29,1875,479.76
30,1870,490.77
31,1865,481.95
32,1860,465.45
33,1855,469.66
34,1850,486.55
35,1845,481.02
36,1840,479.07
37,1835,429.73
38,1830,364.01
39,1825,340.25
