,Race,Main reason,All reasons
0,It is easier/more convenient by car,46%,58%
1,It is quicker by car,11%,34%
2,Other,8%,11%
3,I prefer to walk/cycle,7%,12%
4,Buses are not frequent enough/do not run when I need them,6%,17%
5,Buses do not go to/go directly to places where I want to go,5%,10%
6,Bus fares are too high,4%,13%
7,Journeys take too long by bus,3%,12%
8,I have difficulty getting on and off buses,2%,4%
9,The nearest bus stop is too far away,2%,7%
10,It is cheaper by car,2%,10%
11,Not safe on the buses/stops/stations/anti-social behaviour,1%,4%
12,I have difficulty getting to the bus stop/station,1%,4%
13,I do not know what bus services are available,1%,6%
14,Buses are not reliable enough,1%,4%
