,Year,Inflation rate compared to previous year
0,2024*,2.52%
1,2023*,2.52%
2,2022*,2.52%
3,2021*,2.51%
4,2020*,2.5%
5,2019*,2.02%
6,2018,4.46%
7,2017,3.32%
8,2016,-0.78%
9,2015,-0.88%
10,2014,2.9%
11,2013,4.83%
12,2012,4.52%
13,2011,4.16%
14,2010,4.85%
15,2009,-0.74%
16,2008,13.97%
17,2007,4.74%
18,2006,6.26%
19,2005,3.49%
20,2004,3.37%
21,2003,1.63%
22,2002,1.84%
23,2001,1.77%
24,2000,0.67%
25,1999,0.6%
26,1998,3.08%
27,1997,3.04%
28,1996,6.5%
29,1995,2.35%
30,1994,3.52%
31,1993,3.3%
32,1992,4.02%
33,1991,8.16%
34,1990,16.19%
35,1989,25.67%
36,1988,6.71%
37,1987,-0.21%
38,1986 **,-
39,1985,2.81%
40,1984,4.05%
