,Country,MRI units per million population
0,United States,37.56
1,Germany,34.49
2,Korea,29.08
3,Italy,28.4
4,Finland,27.07
5,Greece,26.63
6,Austria,22.43
7,Iceland,20.69
8,Spain,15.92
9,Ireland,15.26
10,Australia,15.0
11,France,14.18
12,Latvia,13.78
13,Estonia,13.68
14,New Zealand,13.56
15,Netherlands,12.8
16,Chile,12.3
17,Lithuania,12.2
18,Luxembourg,11.74
19,Slovenia,11.62
20,Turkey,10.55
21,Canada,9.97
22,Slovak Republic,9.02
23,Czech Republic,8.52
24,Poland,7.87
25,Israel,5.17
26,Hungary,3.97
27,Mexico,2.57
