,Year,Thousands of people
0,2020,37846.61
1,2019,37887.77
2,2018,37921.59
3,2017,37953.18
4,2016,37989.22
5,2015,38034.08
6,2014,38091.1
7,2013,38158.04
8,2012,38227.03
9,2011,38286.82
10,2010,38329.78
11,2009,38351.92
12,2008,38356.79
13,2007,38353.34
14,2006,38354.45
15,2005,38368.96
16,2004,38399.55
17,2003,38441.82
18,2002,38488.64
19,2001,38529.59
20,2000,38556.7
21,1999,38567.87
22,1998,38564.19
23,1997,38544.84
24,1996,38509.67
25,1995,38458.64
26,1994,38389.47
27,1993,38301.35
28,1992,38197.59
29,1991,38082.94
30,1990,37960.19
31,1989,37832.57
32,1988,37697.36
33,1987,37544.33
34,1986,37359.52
35,1985,37133.86
36,1984,36863.95
37,1983,36555.78
38,1982,36221.54
39,1981,35878.44
40,1980,35539.72
41,1979,35209.25
42,1978,34885.81
43,1977,34571.23
44,1976,34266.1
45,1975,33970.73
46,1974,33685.79
47,1973,33411.59
48,1972,33147.08
49,1971,32890.39
50,1970,32639.26
51,1969,32393.14
52,1968,32149.54
53,1967,31901.69
54,1966,31641.04
55,1965,31360.9
56,1964,31059.45
57,1963,30736.49
58,1962,30389.35
59,1961,30015.6
60,1960,29614.2
61,1959,29185.9
62,1958,28733.12
63,1957,28259.61
64,1956,27770.04
65,1955,27269.74
66,1954,26764.49
67,1953,26260.48
68,1952,25764.32
69,1951,25283.01
70,1950,24824.01
71,1949,24900.0
72,1948,25200.0
73,1947,25700.0
74,1946,26200.0
75,1945,26700.0
76,1944,27200.0
77,1943,27700.0
78,1942,28300.0
79,1941,28700.0
80,1940,28900.0
81,1939,29000.0
82,1938,29000.0
83,1937,28800.0
84,1936,28600.0
85,1935,28500.0
86,1934,28300.0
87,1933,28100.0
88,1932,27900.0
89,1931,27700.0
90,1930,27400.0
91,1929,27100.0
92,1928,26700.0
93,1927,26300.0
94,1926,25900.0
95,1925,25400.0
96,1924,25000.0
97,1923,24600.0
98,1922,24200.0
99,1921,24000.0
100,1920,23800.0
101,1919,23800.0
102,1918,23900.0
103,1917,24200.0
104,1916,24500.0
105,1915,24700.0
106,1914,25000.0
107,1913,25300.0
108,1912,25600.0
109,1911,25700.0
110,1910,25800.0
111,1909,25800.0
112,1908,25800.0
113,1907,25600.0
114,1906,25400.0
115,1905,25200.0
116,1904,25000.0
117,1903,24900.0
118,1902,24700.0
119,1901,24500.0
120,1900,24300.0
121,1899,24200.0
122,1898,24000.0
123,1897,23800.0
124,1896,23600.0
125,1895,23400.0
126,1894,23300.0
127,1893,23100.0
128,1892,22900.0
129,1891,22700.0
130,1890,22500.0
131,1889,22200.0
132,1888,21900.0
133,1887,21600.0
134,1886,21300.0
135,1885,20900.0
136,1884,20600.0
137,1883,20300.0
138,1882,20000.0
139,1881,19700.0
140,1880,19400.0
141,1879,19200.0
142,1878,18900.0
143,1877,18600.0
144,1876,18300.0
145,1875,18100.0
146,1874,17800.0
147,1873,17500.0
148,1872,17300.0
149,1871,17000.0
150,1870,16800.0
151,1869,16600.0
152,1868,16300.0
153,1867,16100.0
154,1866,15900.0
155,1865,15700.0
156,1864,15500.0
157,1863,15300.0
158,1862,15100.0
159,1861,14900.0
160,1860,14800.0
161,1859,14600.0
162,1858,14400.0
163,1857,14200.0
164,1856,14000.0
165,1855,13900.0
166,1854,13700.0
167,1853,13500.0
168,1852,13300.0
169,1851,13200.0
170,1850,13000.0
171,1849,12900.0
172,1848,12800.0
173,1847,12700.0
174,1846,12600.0
175,1845,12500.0
176,1844,12400.0
177,1843,12300.0
178,1842,12300.0
179,1841,12200.0
180,1840,12100.0
181,1839,12000.0
182,1838,11900.0
183,1837,11800.0
184,1836,11700.0
185,1835,11600.0
186,1834,11600.0
187,1833,11500.0
188,1832,11400.0
189,1831,11300.0
190,1830,11200.0
191,1829,11100.0
192,1828,11100.0
193,1827,11000.0
194,1826,10900.0
195,1825,10800.0
196,1824,10700.0
197,1823,10700.0
198,1822,10600.0
199,1821,10500.0
200,1820,10400.0
201,1819,10400.0
202,1818,10300.0
203,1817,10200.0
204,1816,10100.0
205,1815,10100.0
206,1814,9980.0
207,1813,9900.0
208,1812,9830.0
209,1811,9760.0
210,1810,9690.0
211,1809,9620.0
212,1808,9550.0
213,1807,9480.0
214,1806,9410.0
215,1805,9340.0
216,1804,9270.0
217,1803,9200.0
218,1802,9130.0
219,1801,9070.0
220,1800,9000.0
