,Organizations,Total funds donated to charity in U.S. dollars
0,(1) Sigma Chi,1436883
1,(7) Alpha Gamma Rho,1397891
2,(3) Phi Gamma Delta,424525
3,(4) Theta Chi,278962
4,(2) Sigma Alpha Epsilon,242225
5,(8) Sigma Phi Epsilon,219538
6,(6) Alpha Epsilon Pi,178067
7,(23) Phi Kappa Sigma,157843
8,(5) Sigma Nu,143921
9,(19) Sigma Alpha Mu,123950
10,(9) Kappa Alpha Order,118115
11,(18) Alpha Tau Omega,114711
12,(13) Phi Kappa Tau,102609
13,(11) Delta Tau Delta,90457
14,(17) Pi Kappa Phi,73765
15,(15) Pi Kappa Delta,58406
16,(14) Lambda Chi Alpha,50238
17,(25) Delta Upsilon,35022
18,(22) Delta Chi,23603
