,Insurance Company,2015,2016,2017,2018
0,AG Insurance,20.8%,22.4%,21%,21.7%
1,AXA,14.2%,12.5%,12.5%,12.1%
2,Ethias,9%,9%,9.1%,9.3%
3,KBC,8.7%,10.1%,9.4%,8.8%
4,Belfius,6.1%,5.6%,6.4%,6.8%
5,P&V,5.9%,5.9%,6%,5.7%
6,Allianz,5.4%,4.5%,5.5%,5.3%
7,Baloise,4.8%,5.1%,5%,4.9%
8,NN,1.9%,4.7%,4.4%,4.9%
9,ERGO - DKV - DAS,4%,4%,3.8%,3.6%
10,Generali,2.3%,2.8%,2.6%,2.7%
11,Argenta,3.1%,2.2%,2.7%,2.5%
12,Federale,1.2%,1.4%,1.4%,1.5%
13,Credimo,-,-,-,1.1%
14,Fidea,0.9%,0.9%,1.1%,1.1%
15,Foyer,-,-,0.7%,-
16,Integrale,-,0.8%,-,-
17,Delta Lloyd,3.3%,-,-,-
