,Month,Number of players in thousands
0,Oct '20,27.4
1,Sep '20,38.74
2,Aug '20,36.56
3,Jul '20,34.74
4,Jun '20,35.12
5,May '20,41.74
6,Apr '20,61.24
7,Mar '20,49.79
8,Feb '20,62.19
9,Jan '20,103.33
10,Dec '19,94.6
11,Nov '19,26.59
12,Oct '19,20.37
13,Sept '19,30.59
14,Aug '19,25.63
15,Jul '19,35.77
16,Jun '19,33.04
17,May '19,21.32
18,Apr '19,33.78
19,Mar '19,23.58
20,Feb '19,33.76
21,Jan '19,25.65
22,Dec '18,23.94
23,Nov '18,27.24
24,Oct '18,19.56
25,Sept' 18,25.8
26,Aug '18,19.28
27,Jul '18,28.27
28,Jun '18,29.64
29,May '18,19.14
30,Apr '18,26.15
31,Mar '18,24.06
32,Feb '18,31.97
33,Jan '18,29.72
34,Dec '17,24.8
35,Nov '17,28.18
36,Oct '17,33.19
37,Sept '17,23.09
38,Aug '17,18.45
39,Jul '17,29.26
40,Jun '17,34.13
41,May '17,17.64
42,Apr '17,22.66
43,Mar '17,19.81
44,Feb '17,25.99
45,Jan '17,31.97
46,Dec '16,24.57
47,Nov '16,21.28
48,Oct '16,17.82
49,Sept '16,18.72
50,Aug '16,18.86
51,Jul '16,31.24
52,Jun '16,53.58
53,May '16,49.25
54,Apr '16,10.32
55,Mar '16,11.54
56,Feb '16,14.8
57,Jan '16,23.43
