,university,Number of students
0,National Open University of Nigeria,470761
1,University of Lagos,59257
2,University of Ilorin,52497
3,"Ahmadu Bello University, Zaria",48953
4,University of Maiduguri,48160
5,"University of Nigeria, Nsukka",47171
6,University of Benin,46110
7,Michael Okpara University of Agricultural,45350
8,"Bayero University, Kano",43780
9,"Nnamdi Azikiwe University, Awka",40342
10,University of Port-Harcourt,40335
11,Nasarawa State University Keffi,34310
12,"University of Abuja, Gwagwalada",33552
13,"Ambrose Alli University, Ekpoma",33484
14,University of Calabar,33343
15,"Olabisi Onabanjo University, Ago Iwoye",31712
16,"Obafemi Awolowo University, Ile-Ife",29334
17,"Benue State University, Makurdi",26060
18,"Ladoke Akintola University of Technology, Ogbomoso",25118
19,"Lagos State University, Ojo",25100
20,"Ebonyi State University, Abakaliki",25000
21,University of Ibadan,24479
22,University of Uyo,23873
23,"Abia State University, Uturu",23295
24,"Imo State University, Owerri",23282
25,"Modibbo Adama University of Technology, Yola",22838
26,Ekiti State University,22612
27,"Federal University of Technology, Owerri",22475
28,Usmanu Danfodiyo University,21964
29,Delta State University Abraka,21291
30,"Adekunle Ajasin University, Akungba",20644
31,"Federal University of Technology, Minna",20620
32,Tai Solarin University of Education Ijebu Ode,20295
33,"Enugu State University of Science and Technology, Enugu",20059
