,artist name,Number of followers
0,"martingarrix (Martijn Gerard Garritsen, Martin Garrix)",17218088
1,"tiesto (Tijs Michiel Verwest, Tiësto)",6379557
2,"hardwell (Robbert van de Corput, Hardwell)",5440764
3,"afrojack (Nick van de Wall, Afrojack)",3847848
4,arminvanbuuren (Armin van Buuren),3057742
5,nickyromero (Nicky Romero),2881665
6,oliverheldens (Oliver Heldens),1506600
7,feddelegrand  (Fedde Le Grand),441608
8,floor_jansen_official  (Floor Jansen),329685
9,simonesimons  (Simone Simons),324276
