,Month/day/year,Index points
0,11/25/2020,3662.45
1,11/18/2020,3635.41
2,11/11/2020,3609.53
3,11/4/2020,3545.53
4,10/27/2020,3369.16
5,10/20/2020,3390.68
6,10/13/2020,3443.12
7,10/6/2020,3511.93
8,9/30/2020,3380.8
9,9/23/2020,3335.47
10,9/16/2020,3315.57
11,9/9/2020,3401.2
12,9/2/2020,3331.84
13,8/26/2020,3526.65
14,8/19/2020,3443.62
15,8/12/2020,3389.78
16,8/5/2020,3333.69
17,7/29/2020,3218.44
18,7/22/2020,3257.3
19,7/15/2020,3197.52
20,7/8/2020,3145.32
21,7/1/2020,3115.86
22,6/24/2020,3100.29
23,6/17/2020,3113.29
24,6/10/2020,3124.74
25,6/3/2020,3207.18
26,5/27/2020,3080.82
27,5/20/2020,2991.77
28,5/13/2020,2922.94
29,5/6/2020,2870.12
30,4/29/2020,2868.44
31,4/22/2020,2863.39
32,4/15/2020,2736.56
33,4/8/2020,2846.06
34,4/1/2020,2659.41
35,3/25/2020,2475.56
36,3/18/2020,2447.33
37,3/11/2020,2529.19
38,3/4/2020,2882.23
39,2/26/2020,3003.37
40,2/19/2020,3128.21
41,2/12/2020,3370.29
42,2/5/2020,3357.75
43,1/29/2020,3297.59
44,1/22/2020,3276.24
45,1/15/2020,3320.79
46,1/8/2020,3283.15
47,1/1/2020,3237.18
