,Month,Price in GBP per kilogram
0,Oct '19,1.27
1,Sep '19,1.34
2,Aug '19,1.25
3,Jul '19,1.6
4,Jun '19,1.45
5,May '19,1.23
6,Apr '19,1.48
7,Mar '19,2.15
8,Oct '18,1.19
9,Sep '18,1.38
10,Aug '18,1.32
11,Jul '18,1.35
12,Jun '18,1.38
13,May '18,1.81
14,Apr '18,2.35
15,Mar '18,2.51
16,Oct '17,1.34
17,Sep '17,1.21
18,Aug '17,1.25
19,Jul '17,1.22
20,Jun '17,1.15
21,May '17,1.15
22,Apr '17,1.2
23,Mar '17,1.65
24,Oct '16,1.46
25,Sep '16,1.3
26,Aug '16,1.34
27,Jul '16,1.12
28,Jun '16,1.06
29,May '16,1.29
30,Apr '16,1.81
31,Mar '16,4.01
32,Oct '15,1.21
33,Sep '15,1.2
34,Aug '15,1.24
35,Jul '15,1.12
36,Jun '15,1.19
37,May '15,1.32
38,Apr '15,1.99
39,Mar '15,2.68
