,Year,Acquired points
0,Bayern München,3793
1,Borussia Dortmund,2894
2,Werder Bremen,2866
3,Hamburger SV,2733
4,VfB Stuttgart,2671
5,Bor. Mönchengladbach,2642
6,FC Schalke 04,2520
7,Eintracht Frankfurt,2349
8,1. FC Köln,2340
9,Bayer Leverkusen,2210
10,1. FC Kaiserslautern,2094
11,Hertha BSC,1686
12,VfL Bochum,1374
13,1. FC Nürnberg,1318
14,Hannover 96,1174
15,MSV Duisburg,1147
16,VfL Wolfsburg,1110
17,Fortuna Düsseldorf,1024
18,Karlsruher SC,953
19,Eintracht Braunschweig,903
20,TSV 1860 München,884
21,SC Freiburg,814
22,Arminia Bielefeld,605
23,1. FSV Mainz 05,602
24,1899 Hoffenheim,569
25,KFC Uerdingen 05,543
26,Hansa Rostock,479
27,FC Augsburg,370
28,Waldhof Mannheim,285
29,Kickers Offenbach,282
30,RB Leipzig,276
31,Rot-Weiss Essen,262
32,FC St. Pauli,254
33,Energie Cottbus,211
34,Alemannia Aachen,157
35,SG Wattenscheid 09,150
36,1. FC Saarbrücken,144
37,Dynamo Dresden,140
38,Rot-Weiß Oberhausen,139
39,SV Darmstadt 98,117
40,Wuppertaler SV,102
41,Borussia Neunkirchen,93
42,FC 08 Homburg,90
43,SpVgg Unterhaching,79
44,Stuttgarter Kickers,77
45,FC Ingolstadt 04,72
46,1. FC Union Berlin,58
47,SC Paderborn,51
48,TeBe Berlin,49
49,SSV Ulm 1846,35
50,Fortuna Köln,33
51,Preußen Münster,30
52,SpVgg Greuther Fürth,21
53,SV Blau Weiss Berlin,21
54,FC Lok Leipzig,20
55,Tasmania Berlin,10
