,Month,Market share
0,Dec 19,4.17%
1,Nov 19,6.63%
2,Oct 19,4.19%
3,Sep 19,7.98%
4,Aug 19,5.25%
5,Jul 19,6.61%
6,Jun 19,6.96%
7,May 19,7.33%
8,Apr 19,6.61%
9,Mar 19,8.25%
10,Feb 19,5.98%
11,Jan 19,7.61%
12,Dec 18,8.78%
13,Nov 18,7.29%
14,Oct 18,6.14%
15,Sep 18,8.51%
16,Aug 18,5.4%
17,Jul 18,7.19%
18,Jun 18,7.75%
19,May 18,7.26%
20,Apr 18,6.68%
21,Mar 18,7.81%
22,Feb 18,6.01%
23,Jan 18,7.73%
24,Dec 17,8.72%
25,Nov 17,6.32%
26,Oct 17,6.16%
27,Sep 17,7.29%
28,Aug 17,8.74%
29,Jul 17,7.12%
30,Jun 17,8.62%
31,May 17,7.54%
32,Apr 17,7.06%
33,Mar 17,8.28%
34,Feb 17,7.58%
35,Jan 17,7.95%
36,Dec 16,9.59%
37,Nov 16,8.68%
38,Oct 16,8.3%
39,Sep 16,8.88%
40,Aug 16,10.51%
41,Jul 16,11.05%
