,State,Number of federal firearms licensees
0,Texas,10492
1,California,8127
2,Florida,6936
3,Pennsylvania,6106
4,Illinois,4862
5,North Carolina,4438
6,Ohio,4434
7,Missouri,4362
8,Massachusetts,4006
9,Virginia,3932
10,Michigan,3870
11,New York,3791
12,Georgia,3442
13,Arizona,3199
14,Tennessee,3103
15,Washington,3013
16,Colorado,2933
17,Maryland,2925
18,Wisconsin,2894
19,Indiana,2754
20,Minnesota,2443
21,Kentucky,2246
22,Oklahoma,2246
23,Oregon,2183
24,Alabama,2153
25,South Carolina,2077
26,Iowa,2017
27,Louisiana,1986
28,Arkansas,1877
29,Connecticut,1760
30,Kansas,1757
31,Montana,1487
32,Mississippi,1469
33,Idaho,1467
34,Utah,1454
35,West Virginia,1360
36,Nevada,1293
37,New Hampshire,1161
38,Nebraska,1120
39,New Mexico,1042
40,Maine,888
41,Wyoming,854
42,Alaska,848
43,South Dakota,761
44,North Dakota,688
45,Rhode Island,601
46,Vermont,527
47,New Jersey,482
48,Delaware,304
49,Hawaii,229
50,Other Territories,117
51,District of Columbia,30
