,Quarter,Number of users in millions
0,Q4 '19,248
1,Q3 '19,247
2,Q2 '19,244
3,Q1 '19,243
4,Q4 '18,242
5,Q3 '18,242
6,Q2 '18,241
7,Q1 '18,241
8,Q4 '17,239
9,Q3 '17,239
10,Q2 '17,236
11,Q1 '17,234
12,Q4 '16,231
13,Q3 '16,229
14,Q2 '16,226
15,Q1 '16,222
16,Q4 '15,219
17,Q3 '15,217
18,Q2 '15,213
19,Q1 '15,210
20,Q4 '14,208
21,Q3 '14,206
22,Q2 '14,204
23,Q1 '14,202
24,Q4 '13,201
25,Q3 '13,199
26,Q2 '13,198
27,Q1 '13,195
28,Q4 '12,193
29,Q3 '12,189
30,Q2 '12,186
31,Q1 '12,183
32,Q4 '11,179
33,Q3 '11,176
34,Q2 '11,169
35,Q1 '11,163
36,Q4 '10,154
37,Q3 '10,144
38,Q2 '10,137
39,Q1 '10,130
