,Quarter,Revenue in million U.S. dollars
0,Q4 '19,21082
1,Q3 '19,17652
2,Q2 '19,16886
3,Q1 '19,15077
4,Q4 '18,16914
5,Q3 '18,13727
6,Q2 '18,13231
7,Q1 '18,11966
8,Q4 '17,12972
9,Q3 '17,10328
10,Q2 '17,9321
11,Q1 '17,8032
12,Q4 '16,8809
13,Q3 '16,7011
14,Q2 '16,6436
15,Q1 '16,5382
16,Q4 '15,5841
17,Q3 '15,4501
18,Q2 '15,4042
19,Q1 '15,3543
20,Q4 '14,3851
21,Q3 '14,3203
22,Q2 '14,2910
23,Q1 '14,2502
24,Q4 '13,2585
25,Q3 '13,2016
26,Q2 '13,1813
27,Q1 '13,1458
28,Q4 '12,1585
29,Q3 '12,1262
30,Q2 '12,1184
31,Q1 '12,1058
32,Q4 '11,1131
