,Country,Number of refugees
0,Syrian Arab Rep.,6616983
1,Afghanistan,2728853
2,South Sudan,2234814
3,Myanmar,1078268
4,Somalia,905109
5,Dem. Rep. of the Congo,807374
6,Sudan,734947
7,Central African Rep.,610203
8,Eritrea,505118
9,Burundi,381508
10,Iraq,344460
11,Viet Nam,316441
12,Nigeria,295569
13,Rwanda,246698
14,China,212863
15,Colombia,189448
16,Unknown,183429
17,Mali,164461
18,Pakistan,137190
19,Iran (Islamic Rep. of),129676
20,Western Sahara,116909
21,Sri Lanka,110348
22,Palestinian,96318
23,Ethiopia,95685
24,Venezuela (Bolivarian Republic of) *,93280
