,Year,IBOVESPA in Brazilian reals
0,10/15/2020,99054
1,10/14/2020,99334
2,10/13/2020,98503
3,10/9/2020,97483
4,10/8/2020,97920
5,10/7/2020,95526
6,10/6/2020,95615
7,10/5/2020,96089
8,10/2/2020,94016
9,10/1/2020,95479
10,9/30/2020,94603
11,9/29/2020,93580
12,9/28/2020,94666
13,9/25/2020,96999
14,9/24/2020,97012
15,9/23/2020,95735
16,9/22/2020,97294
17,9/21/2020,96991
18,9/18/2020,98290
19,9/17/2020,100098
20,9/16/2020,99676
21,9/15/2020,100298
22,9/14/2020,100275
23,9/11/2020,98363
24,9/10/2020,98835
25,9/9/2020,101292
26,9/8/2020,100050
27,9/4/2020,101242
28,9/3/2020,100721
29,9/2/2020,101911
30,9/1/2020,102168
31,8/31/2020,99369
32,8/28/2020,102143
33,8/27/2020,100624
34,8/26/2020,100627
35,8/25/2020,102118
36,8/24/2020,102298
37,8/21/2020,101521
38,8/20/2020,101468
39,8/19/2020,100854
40,8/18/2020,102065
41,8/17/2020,99595
42,8/13/2020,100461
43,8/12/2020,102118
44,8/11/2020,102174
45,8/10/2020,103444
46,8/7/2020,102776
47,8/6/2020,104126
48,8/5/2020,102802
49,8/4/2020,101216
50,8/3/2020,102830
51,7/31/2020,102912
52,7/30/2020,105009
53,7/29/2020,105605
54,7/28/2020,104109
55,7/27/2020,104477
56,7/24/2020,102382
57,7/23/2020,102293
58,7/22/2020,104290
59,7/21/2020,104310
60,7/20/2020,104426
61,7/17/2020,102888
62,7/16/2020,100553
63,7/15/2020,101791
64,7/14/2020,100440
65,7/13/2020,98697
66,7/10/2020,100032
67,7/9/2020,99160
68,7/8/2020,99770
69,7/7/2020,97761
70,7/6/2020,98937
71,7/3/2020,96765
72,7/2/2020,96235
73,7/1/2020,96203
74,6/30/2020,95056
75,6/29/2020,95735
76,6/26/2020,93834
77,6/25/2020,95983
78,6/24/2020,94377
79,6/23/2020,95975
80,6/22/2020,95336
81,6/19/2020,96572
82,6/18/2020,96125
83,6/17/2020,95547
84,6/16/2020,93531
85,6/15/2020,92376
86,6/12/2020,92795
87,6/10/2020,94686
88,6/9/2020,96747
89,6/8/2020,97645
90,6/5/2020,94637
91,6/4/2020,93829
92,6/3/2020,93002
93,6/2/2020,91046
94,6/1/2020,88620
95,5/29/2020,87403
96,5/28/2020,86949
97,5/27/2020,87946
98,5/26/2020,85469
99,5/25/2020,85663
100,5/22/2020,82173
101,5/21/2020,83027
102,5/20/2020,81319
103,5/19/2020,80742
104,5/18/2020,81194
105,5/15/2020,77557
106,5/14/2020,79011
107,5/13/2020,77772
108,5/12/2020,77872
109,5/11/2020,79065
110,5/8/2020,80263
111,5/7/2020,78119
112,5/6/2020,79064
113,5/5/2020,79471
114,5/4/2020,78876
115,4/30/2020,80506
116,4/29/2020,83171
117,4/28/2020,81312
118,4/27/2020,78239
119,4/24/2020,75331
120,4/23/2020,79673
121,4/22/2020,80687
122,4/20/2020,78973
123,4/17/2020,78990
124,4/16/2020,77812
125,4/15/2020,78831
126,4/14/2020,79918
127,4/13/2020,78836
128,4/9/2020,77682
129,4/8/2020,78625
130,4/7/2020,76358
131,4/6/2020,74073
132,4/3/2020,69538
133,4/2/2020,72253
134,4/1/2020,70967
135,3/31/2020,73020
136,3/30/2020,74640
137,3/27/2020,73429
138,3/26/2020,77710
139,3/25/2020,74956
140,3/24/2020,69729
141,3/23/2020,63570
142,3/20/2020,67069
143,3/19/2020,68332
144,3/18/2020,66895
145,3/17/2020,74617
146,3/16/2020,71168
147,3/13/2020,82678
148,3/12/2020,72583
149,3/11/2020,85171
150,3/10/2020,92214
151,3/9/2020,86067
152,3/6/2020,97997
153,3/5/2020,102233
154,3/4/2020,107224
155,3/3/2020,105537
156,3/2/2020,106625
157,2/28/2020,104172
158,2/27/2020,102984
159,2/21/2020,113681
160,2/20/2020,114586
161,2/19/2020,116518
162,2/18/2020,114977
163,2/17/2020,115309
164,2/14/2020,114381
165,2/13/2020,115662
166,2/12/2020,116674
167,2/11/2020,115371
168,2/10/2020,112570
169,2/7/2020,113770
170,2/6/2020,115190
171,2/5/2020,116028
172,2/4/2020,115557
173,2/3/2020,114629
174,1/31/2020,113761
175,1/30/2020,115528
176,1/29/2020,115385
177,1/28/2020,116479
178,1/27/2020,114482
179,1/24/2020,118376
180,1/23/2020,119528
181,1/22/2020,118391
182,1/21/2020,117026
183,1/20/2020,118862
184,1/17/2020,118478
185,1/16/2020,116704
186,1/15/2020,116414
187,1/14/2020,117632
188,1/13/2020,117325
189,1/10/2020,115503
190,1/9/2020,115947
191,1/8/2020,116247
192,1/7/2020,116662
193,1/6/2020,116878
194,1/3/2020,117707
195,1/2/2020,118573
