,Teams,Average player salary in thousand U.S. dollars
0,Vissel Kobe,1133.6
1,Nagoya Grampus Eight,404.61
2,Urawa Red Diamonds,379.84
3,Kawasaki Frontale,359.53
4,Kashima Antlers,337.42
5,Cerezo Osaka,304.8
6,Gamba Osaka,285.61
7,FC Tokyo,274.92
8,Shimizu S-Pulse,231.61
9,Sanfrecce Hiroshima,229.94
10,Yokohama F Marinos,228.5
11,Jubilo Iwata,217.59
12,Kashiwa Reysol,207.11
13,Consadole Sapporo,175.81
14,Shonan Bellmare,163.01
15,Sagan Tosu,133.68
16,Vegalta Sendai,132.49
17,V-Varen Nagasaki,88.15
