,region of France,Number of confirmed cases
0,Total,25233
1,Metropolitan France,24920
2,Ile-de-France,7660
3,Grand-Est,5479
4,Auvergne-Rhône-Alpes,2093
5,Provence-Alpes-Côtes d'Azur,1927
6,Hauts-de-France,1753
7,Bourgogne-Franche-Comté,1569
8,Occitanie,1082
9,Nouvelle Aquitaine,912
10,Normandy,688
11,Brittany,603
12,Centre-Val de Loire,561
13,Pays de la Loire,368
14,Overseas France,313
15,Corsica,225
16,Réunion,94
17,Guadeloupe,76
18,Martinique,66
19,Mayotte,35
20,French Guiana,28
21,Saint Martin,11
22,Saint Barthelemy,3
