,Occupation,Employment growth in percent
0,Solar photovoltaic installers,63.3%
1,Wind turbine service technicians,56.9%
2,Home health aides,36.6%
3,Personal care aides,36.4%
4,Occupational therapy assistants,33.1%
5,Information security analysts,31.6%
6,Physician assistants,31.1%
7,Statisticians,30.7%
8,Nurse practitioners,28.2%
9,Speech-language pathologists,27.3%
10,Physical therapist assistants,27.1%
11,Genetic counselors,27%
12,Mathematicians,26%
13,Operations research analysts,25.6%
14,"Software developers, applications",25.6%
