,Year,Inflation rate compared to previous year
0,2024*,1.76%
1,2023*,1.76%
2,2022*,1.45%
3,2021*,1.26%
4,2020*,0.94%
5,2019*,0.63%
6,2018,0.77%
7,2017,1.14%
8,2016,0.01%
9,2015,-1.09%
10,2014,-1.39%
11,2013,-0.85%
12,2012,1.04%
13,2011,3.12%
14,2010,4.7%
15,2009,1.35%
16,2008,4.23%
17,2007,2.99%
18,2006,3.31%
19,2005,3.49%
20,2004,3.02%
21,2003,3.45%
22,2002,3.92%
23,2001,3.64%
24,2000,2.9%
25,1999,2.14%
26,1998,4.52%
27,1997,5.44%
28,1996,7.87%
29,1995,8.82%
30,1994,10.88%
31,1993,14.35%
32,1992,15.87%
33,1991,19.5%
34,1990,20.35%
35,1989,13.71%
36,1988,13.48%
37,1987,16.36%
38,1986,23.11%
39,1985,19.53%
40,1984,18.42%
