,Response,Percentage of religious population
0,Utah,79.1%
1,North Dakota,67.1%
2,Alabama,62.9%
3,Louisiana,60.6%
4,Oklahoma,59.3%
5,Mississippi,58.7%
6,South Dakota,58.6%
7,Massachusetts,57.2%
8,Minnesota,56.3%
9,Nebraska,55.7%
10,Texas,55.7%
11,Tennessee,55.5%
12,Arkansas,55.4%
13,Illinois,55.3%
14,District of Columbia,55.2%
15,Rhode Island,54.8%
16,New Jersey,54.7%
17,Iowa,53.9%
18,Pennsylvania,53.8%
19,Wisconsin,53.6%
20,South Carolina,52.2%
21,Kentucky,51.6%
22,New York,51.2%
23,Connecticut,51.2%
24,Idaho,51.1%
25,Georgia,50.8%
26,Kansas,50.6%
27,New Mexico,50.1%
28,Missouri,49.3%
29,North Carolina,47.5%
30,California,45%
31,Virginia,44.8%
32,Indiana,44.3%
33,Ohio,44%
34,Michigan,42.1%
35,Delaware,41.8%
36,Maryland,41.8%
37,Hawaii,41.3%
38,Wyoming,39.6%
39,Florida,39.1%
40,Montana,38.1%
41,Colorado,37.8%
42,Arizona,37.2%
43,West Virginia,35.5%
44,New Hampshire,35.2%
45,Washington,34.6%
46,Nevada,34.4%
47,Alaska,33.9%
48,Vermont,33.6%
49,Oregon,31.2%
50,Maine,27.6%
