,Quarter,Unique visitors in millions
0,Q3 '20,43.4
1,Q2 '20,37.53
2,Q1 '20,52.25
3,Q4 '19,54.01
4,Q3 '19,62.43
5,Q2 '19,61.8
6,Q1 '19,62.78
7,Q4 '18,62.14
8,Q3 '18,68.81
9,Q2 '18,73.94
10,Q1 '18,73.67
11,Q4 '17,76.75
12,Q3 '17,83.59
13,Q2 '17,83.0
14,Q1 '17,78.17
15,Q4 '16,67.89
16,Q3 '16,71.41
17,Q2 '16,73.41
18,Q1 '16,77.43
19,Q4 '15,74.61
20,Q3 '15,78.9
21,Q2 '15,79.18
22,Q1 '15,79.54
23,Q4 '14,77.63
24,Q3 '14,80.47
25,Q2 '14,81.88
26,Q1 '14,82.21
27,Q4 '13,77.71
28,Q3 '13,78.18
29,Q2 '13,73.37
30,Q1 '13,71.81
