,Year,Inflation rate compared to previous year
0,2024*,1.69%
1,2023*,1.68%
2,2022*,1.59%
3,2021*,1.43%
4,2020*,1.33%
5,2019*,1.17%
6,2018,2.1%
7,2017,1.16%
8,2016,0.31%
9,2015,0.09%
10,2014,0.61%
11,2013,0.99%
12,2012,2.22%
13,2011,2.29%
14,2010,1.74%
15,2009,0.1%
16,2008,3.16%
17,2007,1.61%
18,2006,1.89%
19,2005,1.89%
20,2004,2.34%
21,2003,2.17%
22,2002,1.94%
23,2001,1.78%
24,2000,1.82%
25,1999,0.58%
26,1998,0.67%
27,1997,1.27%
28,1996,2.08%
29,1995,1.77%
30,1994,1.66%
31,1993,2.24%
32,1992,2.46%
33,1991,3.4%
34,1990,0.32%
35,1989,6.57%
36,1988,2.7%
37,1987,3.29%
38,1986,2.54%
39,1985,5.83%
40,1984,7.67%
