,Month,Inflation rate
0,Nov 20,0.3%
1,Oct 20,0.7%
2,Sep 20,0.5%
3,Aug 20,0.2%
4,Jul 20,1%
5,Jun 20,0.6%
6,May 20,0.5%
7,Apr 20,0.8%
8,Mar 20,1.5%
9,Feb 20,1.7%
10,Jan 20,1.8%
11,Dec 19,1.3%
12,Nov 19,1.5%
13,Oct 19,1.5%
14,Sep 19,1.7%
15,Aug 19,1.7%
16,Jul 19,2.1%
17,Jun 19,2%
18,May 19,2%
19,Apr 19,2.1%
20,Mar 19,1.9%
21,Feb 19,1.9%
22,Jan 19,1.8%
23,Dec 18,2.1%
24,Nov 18,2.3%
25,Oct 18,2.4%
26,Sep 18,2.4%
27,Aug 18,2.7%
28,Jul 18,2.5%
29,Jun 18,2.4%
30,May 18,2.4%
31,Apr 18,2.4%
32,Mar 18,2.5%
33,Feb 18,2.7%
34,Jan 18,3%
35,Dec 17,3%
36,Nov 17,3.1%
37,Oct 17,3%
38,Sep 17,3%
39,Aug 17,2.9%
40,Jul 17,2.6%
41,Jun 17,2.6%
42,May 17,2.9%
43,Apr 17,2.7%
44,Mar 17,2.3%
45,Feb 17,2.3%
46,Jan 17,1.8%
47,Dec 16,1.6%
48,Nov 16,1.2%
49,Oct 16,0.9%
50,Sep 16,1%
51,Aug 16,0.6%
52,Jul 16,0.6%
53,Jun 16,0.5%
54,May 16,0.3%
55,Apr 16,0.3%
56,Mar 16,0.5%
57,Feb 16,0.3%
58,Jan 16,0.3%
59,Dec 15,0.2%
60,Nov 15,0.1%
61,Oct 15,-0.1%
62,Sep 15,-0.1%
63,Aug 15,0%
64,Jul 15,0.1%
65,Jun 15,0%
66,May 15,0.1%
67,Apr 15,-0.1%
68,Mar 15,0%
69,Feb 15,0%
70,Jan 15,0.3%
71,Dec 14,0.5%
72,Nov 14,1%
73,Oct 14,1.3%
74,Sep 14,1.2%
75,Aug 14,1.5%
76,Jul 14,1.6%
77,Jun 14,1.9%
78,May 14,1.5%
79,Apr 14,1.8%
80,Mar 14,1.6%
81,Feb 14,1.7%
82,Jan 14,1.9%
83,Dec 13,2%
84,Nov 13,2.1%
85,Oct 13,2.2%
86,Sep 13,2.7%
87,Aug 13,2.7%
88,Jul 13,2.8%
89,Jun 13,2.9%
90,May 13,2.7%
91,Apr 13,2.4%
92,Mar 13,2.8%
93,Feb 13,2.8%
94,Jan 13,2.7%
95,Dec 12,2.7%
96,Nov 12,2.7%
97,Oct 12,2.7%
98,Sep 12,2.2%
99,Aug 12,2.5%
100,Jul 12,2.6%
101,Jun 12,2.4%
102,May 12,2.8%
103,Apr 12,3%
104,Mar 12,3.5%
105,Feb 12,3.4%
106,Jan 12,3.6%
107,Dec 11,4.2%
108,Nov 11,4.8%
109,Oct 11,5%
110,Sep 11,5.2%
111,Aug 11,4.5%
112,Jul 11,4.4%
113,Jun 11,4.2%
114,May 11,4.5%
115,Apr 11,4.5%
116,Mar 11,4%
117,Feb 11,4.4%
118,Jan 11,4%
119,Dec 10,3.7%
120,Nov 10,3.3%
121,Oct 10,3.2%
122,Sep 10,3.1%
123,Aug 10,3.1%
124,Jul 10,3.1%
125,Jun 10,3.2%
126,May 10,3.4%
127,Apr 10,3.7%
128,Mar 10,3.4%
129,Feb 10,3%
130,Jan 10,3.5%
131,Dec 09,2.9%
132,Nov 09,1.9%
133,Oct 09,1.5%
134,Sep 09,1.1%
135,Aug 09,1.6%
136,Jul 09,1.8%
137,Jun 09,1.8%
138,May 09,2.2%
139,Apr 09,2.3%
140,Mar 09,2.9%
141,Feb 09,3.2%
142,Jan 09,3%
143,Dec 08,3.1%
144,Nov 08,4.1%
145,Oct 08,4.5%
146,Sep 08,5.2%
147,Aug 08,4.7%
148,Jul 08,4.4%
149,Jun 08,3.8%
150,May 08,3.3%
151,Apr 08,3%
152,Mar 08,2.5%
153,Feb 08,2.5%
154,Jan 08,2.2%
155,Dec 07,2.1%
156,Nov 07,2.1%
157,Oct 07,2.1%
158,Sep 07,1.8%
159,Aug 07,1.8%
160,Jul 07,1.9%
161,Jun 07,2.4%
162,May 07,2.5%
163,Apr 07,2.8%
164,Mar 07,3.1%
165,Feb 07,2.8%
166,Jan 07,2.7%
167,Dec 06,3%
168,Nov 06,2.7%
169,Oct 06,2.4%
170,Sep 06,2.4%
171,Aug 06,2.5%
172,Jul 06,2.4%
173,Jun 06,2.5%
174,May 06,2.2%
175,Apr 06,2%
176,Mar 06,1.8%
177,Feb 06,2%
178,Jan 06,1.9%
179,Dec 05,1.9%
180,Nov 05,2.1%
