,Year,Inflation rate compared to previous year
0,2025*,0.35%
1,2024*,0.35%
2,2023*,0.35%
3,2022*,0.35%
4,2021*,0.51%
5,2020*,0.29%
6,2019,-0.42%
7,2018,1.05%
8,2017,-1.26%
9,2016,-0.38%
10,2015,-0.31%
11,2014,-0.21%
12,2013,0.39%
13,2012,0.11%
14,2011,0.14%
15,2010,0.23%
16,2009,1.03%
17,2008,2.09%
18,2007,0.97%
19,2006,0.15%
20,2005,0.95%
21,2004,0.9%
22,2003,0.3%
23,2002,-2.29%
24,2001,0.6%
25,2000,1.17%
26,1999,-0.01%
27,1998,-0.42%
28,1997,1.71%
29,1996,1.97%
30,1995,5.97%
31,1994,2.45%
32,1993,4.29%
33,1992,1.26%
34,1991,1.58%
35,1990,2.13%
36,1989,1.31%
37,1988,1.19%
38,1987,1.28%
39,1986,1.78%
40,1985,2.3%
