,App Categories,Penetration rate among Android users
0,Tools,99.81%
1,Communication,99.39%
2,Business,99.33%
3,Video Players & Edit,96.63%
4,Travel & Local,95.7%
5,Social,95.02%
6,Productivity,91.67%
7,Music & Audio,88.38%
8,Entertainment,83.85%
9,News & Magazines,81.11%
10,Photography,75.77%
11,Books & Reference,70.74%
12,Lifestyle,65.67%
13,Personalization,61.62%
14,Games - Casual,58.86%
15,Games - Puzzle,56.5%
16,Games - Arcade,55.08%
17,Shopping,35.79%
18,Games - Action,34.19%
19,Weather,32.46%
20,Games - Racing,30.83%
21,Sports,30.44%
22,Education,29.28%
23,Finance,25.75%
24,Health & Fitness,23.17%
25,Media & Video,19.49%
26,Maps & Navigation,18.67%
27,Games - Strategy,15.65%
28,Games - Card,15.35%
29,Games - Board,14.95%
30,Games - Adventure,14.82%
31,Games - Action & Adventure,13.62%
32,Games - Word,13.61%
33,Games - Simulation,13.19%
34,Games - Casino,10.39%
35,Food & Drink,8.18%
36,Games - Role Playing,8.11%
37,Games - Trivia,7.84%
38,Games - Brain Games,7.39%
39,Creativity,6.47%
40,Medical,6.2%
41,Comics,5.74%
42,Games - Educational,5.38%
43,Art & Design,5.19%
44,Games - Pretend Play,5.13%
45,Libraries & Demo,3.95%
46,Music,3.87%
47,House & Home,3.71%
48,Games - Arcade & Action,3.39%
49,Dating,2.37%
50,Beauty,2.23%
51,Music & Video,2.06%
52,Auto & Vehicles,2.03%
53,Games - Brain & Puzzle,1.69%
54,Events,1.43%
55,Transportation,1.04%
56,Family,0.91%
57,Games - Sports Games,0.57%
58,Parenting,0.52%
59,Games - Cards & Casino,0.48%
