,brand,TV advertising expenditure in million zloty
0,Aflofarm,133.35
1,Ferrero,99.33
2,Lidl Polska,68.65
3,Polpharma,66.27
4,Orange SA,63.52
5,Jeronimo Martins,62.47
6,Procter & Gamble,62.3
7,US Pharmacia Inc.,55.47
8,Polsat Group,52.23
9,Natur Produkt Pharma,51.91
10,Pepsico,48.68
11,T-Mobile Polska SA,44.64
12,Unilever,44.35
13,Nestle,42.94
14,Reckitt Benckiser,41.55
15,Glaxo Smithkline,39.94
16,Rossmann Polska,39.59
17,Allegro Group,39.53
18,Maspex Wadowice,34.24
19,Heinkel/Schwarzkopf,33.63
