,State,"Rate per 1,000 members"
0,Connecticut,7.2
1,Colorado,7.0
2,Pennsylvania,6.9
3,Rhode Island,6.9
4,Massachusetts,6.6
5,New Hampshire,6.6
6,Maine,6.2
7,Delaware,6.1
8,New Jersey,6.1
9,Vermont,6.0
10,Montana,5.6
11,Maryland,5.5
12,Kansas,5.1
13,Washington,5.0
14,Wyoming,5.0
15,Oregon,4.9
16,Ohio,4.9
17,Idaho,4.8
18,Virginia,4.8
19,Utah,4.7
20,New York,4.6
21,Minnesota,4.5
22,Alaska,4.5
23,Michigan,4.5
24,South Dakota,4.4
25,Missouri,4.4
26,Nebraska,4.3
27,Wisconsin,4.3
28,United States,4.3
29,Indiana,4.3
30,Iowa,4.1
31,West Virginia,4.1
32,Arizona,3.9
33,North Carolina,3.9
34,District of Columbia,3.8
35,Illinois,3.8
36,Texas,3.7
37,North Dakota,3.6
38,Tennessee,3.5
39,California,3.5
40,Nevada,3.3
41,South Carolina,3.3
42,Georgia,3.2
43,Kentucky,3.0
44,Oklahoma,3.0
45,Alabama,3.0
46,Louisiana,2.8
47,Arkansas,2.6
48,Florida,2.5
49,Mississippi,2.4
