,320,Number of deaths
0,"January 3, 2020",22734
1,"December 27, 2020",21237
2,"December 20, 2020",19880
3,"December 13, 2020",18819
4,"December 6, 2020",17740
5,"November 29, 2020",16815
6,"November 22, 2020",15884
7,"November 15, 2020",15211
8,"November 8, 2020",14614
9,"November 1, 2020",13943
10,"October 25, 2020",13299
11,"October 18, 2020",12511
12,"October 11, 2020",11844
13,"October 4, 2020",11151
14,"September 27, 2020",10386
15,"September 20, 2020",9553
16,"September 13, 2020",8723
17,"September 6, 2020",8025
18,"August 30, 2020",7343
19,"August 23, 2020",6594
20,"August 16, 2020",6150
21,"August 9, 2020",5723
22,"August 2, 2020",5236
23,"July 26, 2020",4781
24,"July 19, 2020",4143
25,"July 12, 2020",3606
26,"July 5, 2020",3171
27,"June 28, 2020",2754
28,"June 21, 2020",2465
29,"June 14, 2020",2134
30,"June 8, 2020",1883
31,"June 1, 2020",1641
32,"May 25, 2020",1372
33,"May 13, 2020",1028
34,"May 6, 2020",895
35,"April 28, 2020",773
36,"April 20, 2020",590
37,"April 13, 2020",399
38,"April 6, 2020",209
39,"March 30, 2020",122
40,"March 23, 2020",49
41,"March 13, 2020",4
