,type,Number of organizations
0,Water resources and wetlands,7291
1,Natural resource conservation,6565
2,Land resources conservation,1522
3,Environmental education,1213
4,Professional associations,1208
5,Alliances & Advocacy,1140
6,Environmental beautification,1062
7,Pollution abatement,695
8,Forest resources,670
9,Wildlife preservation and protection,659
10,Botanical gardens,565
11,Environmental - other,500
12,Single organization support,462
13,Recycling centers,443
14,Fundraising and distribution,426
15,Wildlife sanctuaries,412
16,Research and public policy,372
17,Energy conservation and development,338
18,Bird species,225
19,Management assistance,188
20,Botanical and landscaping services,156
21,Fisheries,153
22,Endangered species,139
23,Native plant societies,79
24,Support - others,56
25,Global sustainability,9
