,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,1.92%
3,2022*,1.69%
4,2021*,1.21%
5,2020*,0.77%
6,2019,1.79%
7,2018,2.48%
8,2017,2.68%
9,2016,0.66%
10,2015,0.04%
11,2014,1.46%
12,2013,2.57%
13,2012,2.83%
14,2011,4.46%
15,2010,3.3%
16,2009,2.17%
17,2008,3.6%
18,2007,2.32%
19,2006,2.33%
20,2005,2.06%
21,2004,1.34%
22,2003,1.36%
23,2002,1.26%
24,2001,1.23%
25,2000,0.8%
26,1999,1.33%
27,1998,1.56%
28,1997,1.83%
29,1996,2.43%
30,1995,2.63%
31,1994,1.99%
32,1993,2.53%
33,1992,4.23%
34,1991,7.52%
35,1990,7%
36,1989,5.22%
37,1988,4.61%
38,1987,4.07%
39,1986,3.63%
40,1985,5.16%
