,Year,"Deaths per 1,000 live births"
0,2020,68.0
1,2015,81.0
2,2010,100.0
3,2005,120.0
4,2000,138.0
5,1995,161.0
6,1990,191.0
7,1985,225.0
8,1980,257.0
9,1975,287.0
10,1970,315.0
11,1965,342.0
12,1960,374.0
13,1955,405.0
14,1950,428.0
15,1945,435.8
16,1940,443.4
17,1935,451.4
18,1930,458.0
19,1925,462.8
20,1920,468.0
21,1915,472.8
22,1910,478.0
23,1905,480.6
24,1900,482.4
25,1895,481.8
26,1890,481.0
27,1885,480.2
28,1880,480.0
29,1875,479.2
30,1870,479.0
31,1865,477.4
32,1860,477.0
33,1855,476.2
34,1850,476.0
35,1845,474.4
36,1840,474.0
37,1835,473.0
38,1830,473.0
39,1825,471.0
40,1820,471.0
41,1815,470.0
42,1810,470.0
43,1805,469.0
44,1800,469.0
