,Country,Amount in billion euros*
0,France,2370.55
1,Germany,1948.46
2,United Kingdom,1941.06
3,Italy,798.92
4,Sweden,446.83
5,Switzerland,433.59
6,Netherlands,335.3
7,Spain,300.49
8,Belgium,295.79
9,Denmark,264.56
10,Luxembourg,185.62
11,Finland,182.8
12,Norway,153.92
13,Austria,87.84
14,Portugal,55.56
15,Poland,38.94
16,Liechtenstein,26.18
17,Czech Republic,16.05
18,Greece,13.79
19,Hungary,7.66
20,Turkey,5.76
21,Slovakia,5.57
22,Slovenia,5.2
23,Croatia,4.73
24,Malta,3.19
25,Romania,3.12
26,Cyprus,2.25
27,Bulgaria,1.51
28,Estonia,1.06
29,Latvia,0.68
