,Year,Inflation rate compared to previous year
0,2024*,6%
1,2023*,6%
2,2022*,6.9%
3,2021*,9.78%
4,2020*,15%
5,2019*,17.21%
6,2018,19.63%
7,2017,29.84%
8,2016,30.69%
9,2015,9.16%
10,2014,7.3%
11,2013,8.78%
12,2012,10.29%
13,2011,13.48%
14,2010,14.48%
15,2009,13.72%
16,2008,12.47%
17,2007,12.25%
18,2006,13.31%
19,2005,22.96%
20,2004,43.53%
21,2003,98.22%
22,2002,108.89%
23,2001,152.59%
24,2000,325.03%
25,1999,248.25%
26,1998,107.43%
27,1997,221.49%
28,1996,"4,146.01%"
29,1995,"2,672.23%"
30,1994,949.77%
31,1993,"1,379.48%"
32,1992,299.1%
33,1991,85.27%
34,1990,1.83%
35,1989,1.83%
36,1988,1.83%
37,1987,1.83%
38,1986,1.83%
39,1985,1.83%
40,1984,1.83%
