,Year,GDP per capita in U.S. dollars
0,2025*,143165.97
1,2024*,139729.08
2,2023*,136246.0
3,2022*,131701.05
4,2021*,125922.64
5,2020*,109602.32
6,2019*,115838.77
7,2018,117859.72
8,2017,108621.75
9,2016,105364.03
10,2015,102624.93
11,2014,120449.5
12,2013,114998.32
13,2012,108047.82
14,2011,117340.49
15,2010,106184.61
16,2009,104357.92
17,2008,115987.04
18,2007,107013.82
19,2006,90494.69
20,2005,81104.54
21,2004,76318.34
22,2003,66045.43
23,2002,53348.37
24,2001,48489.55
25,2000,49173.44
26,1999,49539.61
27,1998,45821.99
28,1997,44382.17
29,1996,49920.89
30,1995,50911.12
31,1994,43482.86
32,1993,39643.49
33,1992,39219.74
34,1991,35490.12
35,1990,33201.25
36,1989,26333.47
37,1988,24976.57
38,1987,22239.52
39,1986,18022.94
40,1985,12444.14
