,State,Percent change from preceding period
0,New Mexico,3.5%
1,Wyoming,3.1%
2,Texas,3.1%
3,Alaska,3%
4,Washington,2.6%
5,Vermont,2.5%
6,Rhode Island,2.5%
7,California,2.5%
8,Massachusetts,2.4%
9,Colorado,2.3%
10,Pennsylvania,2.3%
11,New Hampshire,2.2%
12,New York,2.2%
13,Utah,2.1%
14,Illinois,2%
15,Oklahoma,2%
16,Missouri,1.9%
17,Alabama,1.9%
18,North Dakota,1.8%
19,Connecticut,1.8%
20,Oregon,1.8%
21,United States,1.8%
22,South Carolina,1.7%
23,Florida,1.7%
24,Arkansas,1.6%
25,Ohio,1.6%
26,West Virginia,1.6%
27,New Jersey,1.5%
28,Mississippi,1.5%
29,Maine,1.5%
30,Virginia,1.5%
31,Louisiana,1.5%
32,Arizona,1.4%
33,Hawaii,1.4%
34,Maryland,1.3%
35,Montana,1.3%
36,Tennessee,1.3%
37,North Carolina,1.2%
38,Wisconsin,1.1%
39,Nevada,1.1%
40,District of Columbia,1%
41,Georgia,1%
42,Kentucky,1%
43,Minnesota,0.8%
44,Kansas,0.8%
45,Idaho,0.7%
46,Iowa,0.7%
47,Michigan,0.7%
48,Indiana,0.3%
49,Nebraska,0.2%
50,Delaware,0%
51,South Dakota,0%
