,State,Registrations in thousands
0,California,291
1,Texas,260
2,Indiana,257
3,Illinois,157
4,Ohio,105
5,Florida,92
6,Pennsylvania,86
7,Iowa,76
8,North Carolina,72
9,Georgia,68
10,Minnesota,68
11,Missouri,67
12,Michigan,65
13,Oklahoma,63
14,Wisconsin,63
15,Nebraska,54
16,Arizona,44
17,Kansas,43
18,Alabama,42
19,Washington,42
20,Arkansas,40
21,New Jersey,37
22,New York,36
23,North Dakota,35
24,Tennessee,33
25,Colorado,32
26,Virginia,32
27,Louisiana,29
28,Kentucky,29
29,South Dakota,28
30,Montana,25
31,Oregon,25
32,Mississippi,24
33,Idaho,22
34,South Carolina,21
35,Utah,15
36,New Mexico,15
37,Massachusetts,14
38,Wyoming,13
39,Maryland,10
40,Nevada,9
41,West Virginia,9
42,Maine,7
43,Alaska,6
44,Connecticut,6
45,Delaware,4
46,New Hampshire,4
47,Vermont,3
48,Hawaii,3
49,Rhode Island,2
50,District of Columbia,0
