,Year,Inflation rate compared to previous year
0,2025*,2.04%
1,2024*,2.02%
2,2023*,1.56%
3,2022*,1.18%
4,2021*,0.58%
5,2020*,1.71%
6,2019,1.62%
7,2018,1.6%
8,2017,1.85%
9,2016,0.65%
10,2015,0.29%
11,2014,1.22%
12,2013,1.13%
13,2012,1.03%
14,2011,4.08%
15,2010,2.26%
16,2009,2.16%
17,2008,3.93%
18,2007,2.39%
19,2006,3.36%
20,2005,3.04%
21,2004,2.31%
22,2003,1.73%
23,2002,2.65%
24,2001,2.65%
25,2000,2.61%
26,1999,-0.11%
27,1998,1.26%
28,1997,1.17%
29,1996,2.31%
30,1995,3.75%
31,1994,1.71%
32,1993,1.32%
33,1992,1%
34,1991,2.65%
35,1990,6.06%
36,1989,5.69%
37,1988,6.35%
38,1987,15.76%
39,1986,13.22%
40,1985,15.38%
