,State Of Brazil,Number of cases in thousands
0,São Paulo,158.32
1,Rio de Janeiro,67.89
2,Minas Gerais,30.79
3,Rio Grande do Sul,30.56
4,Paraná,25.49
5,Goiás,22.54
6,Pernambuco,21.06
7,Bahia,18.47
8,Ceará,13.5
9,Santa Catarina,11.3
10,Pará,10.99
11,Distrito Federal,9.27
12,Espírito Santo,8.34
13,Rio Grande do Norte,8.03
14,Piauí,7.1
15,Maranhão,7.07
16,Paraíba,5.4
17,Amazonas,5.34
18,Rondônia,4.92
19,Alagoas,4.89
20,Mato Grosso,4.73
21,Mato Grosso do Sul,4.5
22,Sergipe,3.42
23,Tocantins,3.07
24,Acre,1.84
25,Roraima,1.17
26,Amapá,0.99
