,Month,Inflation rate
0,Sep '19,2.1%
1,Aug '19,3.1%
2,Jul '19,3%
3,Jun '19,2.6%
4,May '19,2.3%
5,Apr '19,2.5%
6,Mar '19,2.5%
7,Feb '19,3.1%
8,Jan '19,2.7%
9,Dec '18,2.5%
10,Nov '18,1.9%
11,Oct '18,2.2%
12,Sep '18,2.8%
13,Aug '18,2.2%
14,Jul '18,1.9%
15,Jun '18,1.9%
16,May '18,1.8%
17,Apr '18,1.6%
18,Mar '18,1.5%
19,Feb '18,0.8%
20,Jan '18,1.2%
21,Dec '17,1.3%
22,Nov '17,1.5%
23,Oct '17,1.5%
24,Sep '17,1.1%
25,Aug '17,0.6%
26,Jul '17,0.7%
27,Jun '17,0.78%
28,May '17,0.4%
29,Apr '17,0.7%
30,Mar '17,0.8%
31,Feb '17,1.6%
32,Jan '17,1.3%
33,Dec '16,0.7%
34,Nov '16,0.3%
35,Oct '16,-0.1%
36,Sep '16,0.5%
37,Aug '16,1.5%
38,Jul '16,1.2%
39,Jun '16,0.6%
40,May '16,1%
41,Apr '16,0.4%
42,Mar '16,0.4%
43,Feb '16,0.2%
44,Jan '16,0.4%
45,Dec '15,0.6%
46,Nov '15,0.8%
47,Oct '15,1%
48,Sep '15,0.9%
49,Aug '15,0.8%
50,Jul '15,0.4%
51,Jun '15,0.4%
52,May '15,0.4%
