,Month,Fatalities,Injured
0,"Virginia Tech massacre (Blacksburg, Virginia, 2007)",33,23
1,"Columbine High School massacre (Littleton, Colorado, 1999)",13,24
2,"Stockton schoolyard shooting (Stockton, California, 1989)",6,29
3,"Marjory Stoneman Douglas High School shooting (Parkland, Florida, 2018)",17,17
4,"Thurston High School shooting (Springfield, Oregon, 1998)",4,25
5,"Sandy Hook Elementary massacre (Newtown, Connecticut, 2012)",27,2
6,"Northern Illinois University shooting (DeKalb, Illinois, 2008)",5,21
7,"Santa Fe High School shooting (Santa Fe, Texas, 2018)",10,13
8,"Isla Vista mass murder (Santa Barbara, California, 2014)",6,13
9,"Umpqua Community College shooting (Roseburg, OR, 2015)",9,9
10,"Westside Middle School killings (Jonesboro, Arkansas, 1998)",5,10
11,"Red Lake massacre (Red Lake, Minnesota, 2005)",10,5
12,"Lindhurst High School shooting (Olivehurst, California, 1992)",4,10
13,"Amish school shooting (Lancaster County, Pennsylvania, 2006)",6,5
14,"Oikos University killings (Oakland, California, 2012)",7,3
15,"University of Iowa shooting (Iowa City, Iowa, 1991)",6,1
16,"Marysville-Pilchuck High Schoolshooting (Marysville, WA, 2014)",5,1
