,Football player,Payroll in thousand U.S. dollars
0,Sebastian Blanco,2853.34
1,Diego Valeri,2420.0
2,Brian Fernandez,1275.8
3,Larrys Mabiala,793.33
4,Jorge Villafana,617.5
5,Jorge Moreira Ferreira,607.96
6,Claude Dielna,600.0
7,Diego Chara,568.75
8,Tomas Conechny,396.0
9,Cristhian Paredes,283.5
10,Jeremy Ebobisse,238.0
11,Dairon Asprilla,213.75
12,Jeff Attinella,187.25
13,Julio Cascante,170.0
14,Aljaz Ivacic,160.0
15,Zarek Valentin,160.0
16,Andy Polo,150.0
17,Steve Clark,140.0
18,Eryk Williamson,136.5
19,Bill Tuiloma,107.51
20,Marco Farfan,80.25
21,Andrea Flores,70.25
22,Modou Jadama,70.25
23,Kendall McIntosh,70.25
24,Renzo Zambrano,70.25
25,Foster Langsdorf,57.23
26,Marvin Loria,56.25
