,Quarter,Surplus in trillion U.S. dollars
0,Q3 '19,-1.58
1,Q2 '19,-1.52
2,Q1 '19,-1.46
3,Q4 '18,-1.44
4,Q3 '18,-1.35
5,Q2 '18,-1.36
6,Q1 '18,-1.3
7,Q4 '17,-0.12
8,Q3 '17,-1.1
9,Q2 '17,-1.08
10,Q1 '17,-1.05
11,Q4 '16,-1.04
12,Q3 '16,-1.02
13,Q2 '16,-0.99
14,Q1 '16,-1.01
15,Q4 '15,-0.8
16,Q3 '15,-0.97
17,Q2 '15,-0.79
18,Q1 '15,-0.85
19,Q4 '14,-0.94
20,Q3 '14,-0.94
21,Q2 '14,-0.9
22,Q1 '14,-0.9
23,Q4 '13,-0.89
24,Q3 '13,-1.07
25,Q2 '13,-0.88
26,Q1 '13,-1.14
27,Q4 '12,-1.46
28,Q3 '12,-1.48
29,Q2 '12,-1.53
30,Q1 '12,-1.56
