,Department Name,Percentage change from 2017
0,Environmental Protection Agency,-31%
1,State Department,-29%
2,Agriculture Department,-21%
3,Labor Department,-21%
4,Department of Health and Human Services,-18%
5,Commerce Department,-16%
6,Education Department,-14%
7,Department of Housing and Urban Development,-13%
8,Transportation Department,-13%
9,Interior Department,-12%
10,Energy Department,-6%
11,Small Business Administration,-5%
12,Treasury Department,-4%
13,Justice Department,-4%
14,NASA,-1%
15,Department of Veterans Affairs,6%
16,Department of Homeland Security,7%
17,Defense Department,9%
