,Bundesliga football club,Number of facebook fans
0,Bayern Munich,32150908
1,Borussia Dortmund,13241976
2,FC Schalke 04,2676313
3,Bayer 04 Leverkusen,1528178
4,Werder Bremen,860278
5,Borussia Mönchengladbach,785941
6,Hamburger SV,749106
7,1. FC Köln,662047
8,VfL Wolfsburg,599966
9,VfB Stuttgart,484366
10,Eintracht Frankfurt,421861
11,Hannover 96,313489
12,Hertha BSC,278081
13,FC Augsburg,198316
14,TSG Hoffenheim,192134
15,1. FSV Mainz 05,171677
16,SV Darmstadt 98,111159
17,FC Ingolstadt 04,56836
