,Year,GDP per capita in U.S. dollars
0,2024*,30257.04
1,2023*,29585.76
2,2022*,29109.22
3,2021*,28874.95
4,2020*,28882.72
5,2019*,29266.98
6,2018*,30969.44
7,2017*,26863.33
8,2016,25267.15
9,2015,27398.08
10,2014,40278.05
11,2013,44754.34
12,2012,45726.19
13,2011,41657.44
14,2010,32216.41
15,2009,30414.74
16,2008,42827.13
17,2007,33732.52
18,2006,31907.2
19,2005,27014.77
20,2004,21585.56
21,2003,18786.75
22,2002,15759.07
23,2001,15108.11
24,2000,17012.78
25,1999,13358.13
26,1998,11424.92
27,1997,13740.68
28,1996,15068.13
29,1995,13871.99
30,1994,13549.78
31,1993,16213.49
32,1992,13989.93
33,1991,7960.51
34,1990,8588.15
35,1989,11359.51
36,1988,9640.41
37,1987,10956.48
38,1986,9653.47
39,1985,12670.69
40,1984,13410.42
