,12 week period ending,Percentage growth (year-on-year)
0,14 Jul 19,-1.9%
1,16 Jun 19,-
2,21 Apr 19,0.7%
3,24 Mar 19,1.3%
4,24 Feb 19,1%
5,28 Jan 19,0.2%
6,30 Dec 18,-1.7%
7,2 Dec 18,-0.7%
8,6 Nov 18,-0.1%
9,8 Oct 18,0.1%
10,10 Sep 18,0.8%
11,13 Aug 18,2.4%
12,15 Jul 18,2.8%
13,17 Jun 18,0.1%
14,22 Apr 18,0.2%
15,25 Mar 18,1.5%
16,25 Feb 18,2.3%
17,28 Jan 18,1.5%
18,31 Dec 17,2.3%
19,3 Dec 17,1.6%
20,8 Oct 17,2.3%
21,10 Sep 17,2.4%
22,13 Aug 17,2.8%
23,16 Jul 17,2.8%
24,18 Jun 17,5.3%
25,21 May 17,3.3%
26,23 Apr 17,3.1%
27,26 Mar 17,0.3%
28,26 Feb 17,2.9%
29,29 Jan 17,3.4%
30,1 Jan 17,3%
31,4 Dec 16,1.1%
32,6 Nov 16,3%
33,9 Oct 16,3.5%
34,11 Sep 16,3.4%
35,14 Aug 16,1.4%
36,17 Jul 16,1.6%
37,19 Jun 16,1.3%
38,22 May 16,2.1%
39,24 Apr 16,1.5%
40,27 Mar 16,1.7%
41,31 Jan 16,0.1%
42,3 Jan 16,1.5%
43,6 Dec 15,2.7%
44,8 Nov 15,2.7%
45,11 Oct 15,2.1%
46,13 Sept 15,2.9%
47,16 Aug 15,3.7%
48,19 Jul 15,3%
