,Country,Prices in U.S. dollars per megawatt hour*
0,Sweden,131.6
1,Chile,112.1
2,Netherlands,103.8
3,Switzerland,103.0
4,Spain,100.7
5,New Zealand,95.2
6,Italy,93.6
7,France,91.8
8,Denmark,90.7
9,Portugal,86.0
10,Ireland,85.0
11,Austria,76.9
12,Germany,76.0
13,Czechia,69.0
14,Greece,65.3
15,Belgium,63.9
16,Slovenia,63.5
17,South Korea,56.6
18,United Kingdom,55.9
19,Slovakia,54.5
20,Latvia,54.2
21,Poland,51.8
22,Estonia,50.6
23,Luxembourg,47.9
24,Lithuania,47.9
25,Hungary,38.7
26,United States,34.9
27,Turkey,26.5
28,Canada,26.0
