,Month,Number of cases
0,Dec 29,91270
1,Dec 22,86958
2,Dec 16,83212
3,Dec 9,77726
4,Dec 2,72153
5,Nov 25,66618
6,Nov 18,60242
7,Nov 11,53276
8,Nov 7,49382
9,Oct 27,39578
10,Oct 20,35545
11,Oct 13,33399
12,Oct 6,33040
13,Sep 29,32337
14,Sep 22,31897
15,Sep 15,31515
16,Sep 8,31062
17,Sep 1,30766
18,Aug 25,30513
19,Aug 11,30225
20,Jul 14,29693
21,Jul 5,29548
22,Jun 30,29397
23,Jun 23,29211
24,Jun 16,28881
25,May 26,27475
26,May 14,25704
27,May 7,23988
28,April 28,20831
29,April 21,18319
30,April 16,16991
31,April 9,14066
32,April 2,10657
