,Football player,Player salary in thousand euros
0,Oscar (Shanghai SIPG),450
1,Bakambu (Beijing Guoan),375
2,Hulk (Shanghai SIPG),320
3,Graziano Pelle (Shandong Luneng Taishan FC),290
4,Stephan El Shaarawy (Shanghai Shenhua),290
5,Paulinho (Guangzhou Evergrande),270
6,Eder (Jiangsu Suning),250
7,Felaini (Shangdong Luneng),240
8,Arnautovic (Shanghai SIPG),230
9,Alex Teixeira (Jiangsu Suning),210
10,Elkeson (Guangzhou Evergrande),210
11,Talisca (Guangzhou Evergrande),180
12,Marek Hamsik (Dalian Yifang),170
13,Salomón Rondón (Dalian Yifang),170
14,Moussa Dembele (Guangzhou R&F),150
