,Country,"Number of prisoners per 100,000 population"
0,United States of America,655
1,El Salvador,618
2,Thailand,558
3,Turkmenistan,552
4,Virgin Islands (USA),542
5,Cuba,510
6,Maldives,499
7,Northern Mariana Islands (USA),482
8,Virgin Islands (United Kingdom),470
9,Rwanda,464
10,Bahamas,442
11,Seychelles,437
12,Grenada,426
13,St. Vincent and the Grenadines,426
14,Panama,402
15,Cayman Islands (United Kingdom),393
16,St. Kitts and Nevis,393
17,Guam (USA),381
18,Russian Federation,381
19,Costa Rica,374
