,Response,Share of respondents
0,Oral sex,80.7%
1,Reciprocal masturbation,67%
2,Watch porno videos alone,61.2%
3,Usage of obscene language during sexual intercourse,46.9%
4,Sexting (sending pictures on smarthphones with explicit sexual content),37.5%
5,Anal sex,33.1%
6,Watch porno videos with the partner,25.2%
7,"Erotic play with objects, food, beverages",24.4%
8,Take pictures or videos during sexual intercourse,16.5%
9,Fantasize with the partner about other partners,16.5%
10,Sexual intercourse with three or more people,13.1%
11,Bondage/sadomasochism,12.5%
