,Year,Number of participants
0,2014 Sochi*,2800
1,2010 Vancouver,2536
2,2006 Torino,2494
3,2002 Salt Lake City,2402
4,1998 Nagano,2180
5,1994 Lillehammer,1738
6,1992 Albertville,1801
7,1988 Calgary,1424
8,1984 Sarajevo,1273
9,1980 Lake Placid,1072
10,1976 Innsbruck,1129
11,1972 Sapporo,1008
12,1968 Grenoble,1160
13,1964 Innsbruck,1094
14,1960 Squaw Valley,665
15,1956 Cortina d'Ampezzo,821
16,1952 Oslo,694
17,1948 St. Moritz,668
18,1936 Garmisch-Partenkirchen,668
19,1932 Lake Placid,252
20,1928 St. Moritz,461
21,1924 Chamonix,292
