,Year,Fertility rate
0,2020,1.37
1,2015,1.41
2,2010,1.34
3,2005,1.3
4,2000,1.37
5,1995,1.48
6,1990,1.65
7,1985,1.76
8,1980,1.83
9,1975,2.13
10,1970,2.04
11,1965,2.03
12,1960,2.17
13,1955,2.96
14,1950,4.01
15,1945,3.94
16,1940,4.12
17,1935,4.65
18,1930,4.99
19,1925,5.18
20,1920,4.98
21,1915,5.08
22,1910,4.94
23,1905,4.79
24,1900,4.66
25,1895,4.27
26,1890,4.25
27,1885,3.84
28,1880,3.63
29,1875,3.59
30,1870,4.13
31,1865,4.75
32,1860,4.78
33,1855,4.72
34,1850,4.66
35,1845,4.6
36,1840,4.54
37,1835,4.52
38,1830,4.5
39,1825,4.48
40,1820,4.45
41,1815,4.43
42,1810,4.31
43,1805,4.17
44,1800,4.08
