,Company,Market capitalization in million euros
0,Industria de Diseño Textil SA (INDITEX),81656.28
1,Banco Santander SA,67292.48
2,Iberdrola SA,51029.09
3,Telefónica SA,38780.03
4,Banco Bilbao Vizcaya Argentaria SA,33959.54
5,Amadeus IT Group SA,31331.92
6,Naturgy Energy Group SA,24947.18
7,Endesa SA,24076.02
8,Aena SME SA,24075.0
9,Repsol SA,23788.47
10,Caixabank SA,16652.32
11,Ferrovial SA,15418.95
12,ACS Actividades de const. y servicios,12322.26
13,International Consolidat. Airlines Group,11816.73
14,Grifols SA,10636.19
