,city,Average price per night in U.S. dollars
0,"Cairo, Egypt",6
1,"Shanghai, China",9
2,"Kuala Lumpur, Malaysia",9
3,"Kiev, Ukraine",9
4,"Sofia, Bulgaria",10
5,"Beijing, China",10
6,"Tbilisi, Georgia",10
7,"Mumbai, India",10
8,"Skopje, Macedonia",10
9,"Marrakech, Morocco",10
10,"Bogotá, Colombia",11
11,"Riga, Latvia",11
12,"Vilnius, Lithuania",11
13,"Sotchi, Russia",11
14,"Tirana, Albania",12
15,"Sarajevo, Bosnia and Herzegovina",12
16,"Crete, Greece",12
17,"Belgrade, Serbia",12
18,"Bratislava, Slovakia",12
19,"Bangkok, Thailand",12
