,Scottish council area,"Estimated population (in 1,000 inhabitants)"
0,Glasgow City,633.12
1,City of Edinburgh,524.93
2,Fife,373.55
3,North Lanarkshire,341.37
4,South Lanarkshire,320.53
5,Aberdeenshire,261.21
6,Highland,235.83
7,Aberdeen City,228.67
8,West Lothian,183.1
9,Renfrewshire,179.1
10,Falkirk,160.89
11,Perth and Kinross,151.95
12,Dundee City,149.32
13,Dumfries and Galloway,148.86
14,North Ayrshire,134.74
15,East Ayrshire,122.01
16,Angus,116.2
17,Scottish Borders,115.51
18,South Ayrshire,112.61
19,East Dunbartonshire,108.64
20,East Lothian,107.09
21,Moray,95.82
22,East Renfrewshire,95.53
23,Stirling,94.21
24,Midlothian,92.46
25,West Dunbartonshire,88.93
26,Argyll and Bute,85.87
27,Inverclyde,77.8
28,Clackmannanshire,51.54
29,Na h-Eileanan Siar,26.72
30,Shetland Islands,22.92
31,Orkney Islands,22.27
