,Year,Population in millions
0,2024*,1411.02
1,2023*,1411.18
2,2022*,1411.33
3,2021*,1408.17
4,2020*,1404.44
5,2019,1400.05
6,2018,1395.38
7,2017,1390.08
8,2016,1382.71
9,2015,1374.62
10,2014,1367.82
11,2013,1360.72
12,2012,1354.04
13,2011,1347.35
14,2010,1340.91
15,2009,1334.5
16,2008,1328.02
17,2007,1321.29
18,2006,1314.48
19,2005,1307.56
20,2004,1299.88
21,2003,1292.27
22,2002,1284.53
23,2001,1276.27
24,2000,1267.43
25,1999,1257.86
26,1998,1247.61
27,1997,1236.26
28,1996,1223.89
29,1995,1211.21
30,1994,1198.5
31,1993,1185.17
32,1992,1171.71
33,1991,1158.23
34,1990,1143.33
35,1989,1127.04
36,1988,1110.26
37,1987,1093.0
38,1986,1075.07
39,1985,1058.51
40,1984,1043.57
41,1983,1030.08
42,1982,1016.54
43,1981,1000.72
44,1980,987.05
