,Month,Wealth in billion U.S. dollars
0,Jeff Bezos (United States),131.0
1,Bill Gates (United States),96.5
2,Warren Buffet (United States),82.5
3,Bernard Arnault (France),76.0
4,Carlos Slim Helú (Mexico),64.0
5,Armancio Ortega (Spain),62.7
6,Larry Ellison (United States),62.5
7,Mark Zuckerberg (United States),62.3
8,Michael Bloomberg (United States),55.5
9,Larry Page (United States),50.8
10,Charles Koch (United States),50.5
11,David Koch (United States),50.5
12,Mukesh Ambani (India),50.0
13,Sergey Brin (United States),49.8
14,Francoise Bettencourt Meyers (France),49.3
15,Jim Walton (United States),44.6
16,Alice Walton (United States),44.4
17,"S. Robson ""Rob"" Walton (United States)",44.3
18,Steve Ballmer (United States),41.2
19,Ma Huateng (China),38.8
20,Jack Ma (China),37.3
21,Hui Ka Yan (China),36.2
22,Beate Heister & Karl Albrecht Jr. (Germany),36.1
23,Sheldon Adelson (United States),35.1
24,Michael Dell (United States),34.3
