,Response,Share of respondents who indicated awareness of each artist
0,Justin Timberlake,93%
1,Taylor Swift,92%
2,Rihanna,89%
3,Kelly Clarkson,87%
4,Tim McGraw,87%
5,Eminem,86%
6,Alicia Keys,85%
7,Katy Perry,83%
8,Kanye West,79%
9,David Bowie,78%
10,Jay-Z,75%
11,Pink,73%
12,Bruno Mars,72%
13,Robin Thicke,71%
14,Blake Shelton,66%
15,Miranda Lambert,54%
16,Darius Rucker,50%
17,Kings of Leon,49%
18,Drake,47%
19,Macklemore & Ryan Lewis,46%
20,Pharrell Williams,33%
21,Lorde,33%
22,Daft Punk,31%
23,Jason Aldean,30%
24,James Blake,26%
25,Kacey Musgraves,17%
26,Little Big Town,14%
